timepoint	period	timepoint_weight	number_of_hours_in_timepoint	previous_stage_timepoint_map	month	day_of_month	hour_of_day
25	2026	182.5	1	.	1	2	1.0
26	2026	182.5	1	.	1	2	2.0
27	2026	182.5	1	.	1	2	3.0
28	2026	182.5	1	.	1	2	4.0
29	2026	182.5	1	.	1	2	5.0
30	2026	182.5	1	.	1	2	6.0
31	2026	182.5	1	.	1	2	7.0
32	2026	182.5	1	.	1	2	8.0
33	2026	182.5	1	.	1	2	9.0
34	2026	182.5	1	.	1	2	10.0
35	2026	182.5	1	.	1	2	11.0
36	2026	182.5	1	.	1	2	12.0
37	2026	182.5	1	.	1	2	13.0
38	2026	182.5	1	.	1	2	14.0
39	2026	182.5	1	.	1	2	15.0
40	2026	182.5	1	.	1	2	16.0
41	2026	182.5	1	.	1	2	17.0
42	2026	182.5	1	.	1	2	18.0
43	2026	182.5	1	.	1	2	19.0
44	2026	182.5	1	.	1	2	20.0
45	2026	182.5	1	.	1	2	21.0
46	2026	182.5	1	.	1	2	22.0
47	2026	182.5	1	.	1	2	23.0
48	2026	182.5	1	.	1	2	24.0
