LOAD_ZONES	timepoint	load_component	load_mw
Zone1	1	all	9001.0
Zone1	2	all	8454.0
Zone1	3	all	8074.0
Zone1	4	all	7818.0
Zone1	5	all	7767.0
Zone1	6	all	7942.0
Zone1	7	all	8233.0
Zone1	8	all	8288.0
Zone1	9	all	7940.0
Zone1	10	all	7733.0
Zone1	11	all	7640.0
Zone1	12	all	7556.0
Zone1	13	all	7736.0
Zone1	14	all	8081.0
Zone1	15	all	8544.0
Zone1	16	all	9165.0
Zone1	17	all	10237.0
Zone1	18	all	11004.0
Zone1	19	all	10793.0
Zone1	20	all	10686.0
Zone1	21	all	10485.0
Zone1	22	all	10106.0
Zone1	23	all	9468.0
Zone1	24	all	8839.0
Zone2	1	all	9001.0
Zone2	2	all	8454.0
Zone2	3	all	8074.0
Zone2	4	all	7818.0
Zone2	5	all	7767.0
Zone2	6	all	7942.0
Zone2	7	all	8233.0
Zone2	8	all	8288.0
Zone2	9	all	7940.0
Zone2	10	all	7733.0
Zone2	11	all	7640.0
Zone2	12	all	7556.0
Zone2	13	all	7736.0
Zone2	14	all	8081.0
Zone2	15	all	8544.0
Zone2	16	all	9165.0
Zone2	17	all	10237.0
Zone2	18	all	11004.0
Zone2	19	all	10793.0
Zone2	20	all	10686.0
Zone2	21	all	10485.0
Zone2	22	all	10106.0
Zone2	23	all	9468.0
Zone2	24	all	8839.0
