project,timepoint,power_mw,commit_continuous,curtail_mw,lf_reserves_up_mw,lf_reserves_down_mw,regulation_up_mw,regulation_down_mw
Coal,1,0.266666756803,0.111111098728,,,,0.399999845149,1.29381175195e-07
Coal,2,4.00000031876,1.0,,,,1.99999975124,1.60000030476
Coal,3,0.266666754576,0.111111097998,,,,0.39999984341,1.29381175195e-07
Coal,4,4.00000031875,1.0,,,,1.99999975124,1.60000030475
Gas_CCGT,1,4.39999989214,1.0,,1.00000001046,1.00000000385,0.600000165314,0.999999874474
Gas_CCGT,2,4.28558331327,1.0,,1.71441662734,1.64357743028,1.29381064852e-07,0.242005868985
Gas_CCGT,3,4.39999988653,1.0,,1.0000000126,1.00000000129,0.600000169194,0.999999871908
Gas_CCGT,4,4.28558331327,1.0,,1.71441662734,1.64357743028,1.29381064852e-07,0.24200586899
Gas_CCGT_New,1,0.0,0.0,,0.0,6.14519900405e-09,0.0,6.14521915924e-09
Gas_CCGT_New,2,1.04774967798,1.0,,0.285583382656,0.356422579715,1.29381008158e-07,0.157993836258
Gas_CCGT_New,3,2.23303035976e-09,0.0,,0.0,8.71091100835e-09,0.0,8.71091100848e-09
Gas_CCGT_New,4,1.04774967801,1.0,,0.285583382662,0.356422579721,1.29381008158e-07,0.157993836261
Gas_CT,1,4.00000052549,0.666666753103,,,,,
Gas_CT,2,0.0,0.0,,,,,
Gas_CT,3,0.0,0.0,,,,,
Gas_CT,4,4.00000053094,0.666666754012,,,,,
Gas_CT_New,3,0.0,0.0,,,,,
Gas_CT_New,4,7.6884094992e-09,0.0,,,,,
Nuclear,1,6.0,,,,,,
Nuclear,2,6.0,,,,,,
Nuclear,3,6.0,,,,,,
Nuclear,4,6.0,,,,,,
Wind,1,1.8,,0.0,,,,
Wind,2,0.519029275597,,0.480970724403,,,,
Wind,3,0.889611904468,,0.910388095532,,,,
Wind,4,1.0,,0.0,,,,
Wind_New,1,33.533332808,,0.0,,,,
Wind_New,2,14.1476374244,,4.48199191339,,,,
Wind_New,3,18.4437214722,,34.9562775642,,,,
Wind_New,4,29.6666661313,,0.0,,,,
