project	timepoint	availability_derate_weather
Gas	1	0.8990000001999999
Gas	2	0.8990000001999999
Gas	3	0.8990000001999999
Gas	4	0.8990000001999999
Gas	5	0.8990000001999999
Gas	6	0.8990000001999999
Gas	7	0.8990000001999999
Gas	8	0.8990000001999999
Gas	9	0.8990000001999999
Gas	10	0.8979287455
Gas	11	0.8959591936
Gas	12	0.8939896417000001
Gas	13	0.8920200892
Gas	14	0.8920200892
Gas	15	0.8939896417000001
Gas	16	0.8979287455
Gas	17	0.8990000001999999
Gas	18	0.8990000001999999
Gas	19	0.8990000001999999
Gas	20	0.8990000001999999
Gas	21	0.8990000001999999
Gas	22	0.8990000001999999
Gas	23	0.8990000001999999
Gas	24	0.8990000001999999
Gas	25	0.8990000001999999
Gas	26	0.8990000001999999
Gas	27	0.8990000001999999
Gas	28	0.8990000001999999
Gas	29	0.8990000001999999
Gas	30	0.8990000001999999
Gas	31	0.8990000001999999
Gas	32	0.8990000001999999
Gas	33	0.8990000001999999
Gas	34	0.8990000001999999
Gas	35	0.8979287455
Gas	36	0.8959591936
Gas	37	0.8939896417000001
Gas	38	0.8939896417000001
Gas	39	0.8959591936
Gas	40	0.8990000001999999
Gas	41	0.8990000001999999
Gas	42	0.8990000001999999
Gas	43	0.8990000001999999
Gas	44	0.8990000001999999
Gas	45	0.8990000001999999
Gas	46	0.8990000001999999
Gas	47	0.8990000001999999
Gas	48	0.8990000001999999
Gas	49	0.8990000001999999
Gas	50	0.8990000001999999
Gas	51	0.8990000001999999
Gas	52	0.8990000001999999
Gas	53	0.8990000001999999
Gas	54	0.8990000001999999
Gas	55	0.8990000001999999
Gas	56	0.8990000001999999
Gas	57	0.8990000001999999
Gas	58	0.8990000001999999
Gas	59	0.8979287455
Gas	60	0.8959591936
Gas	61	0.8939896417000001
Gas	62	0.8939896417000001
Gas	63	0.8959591936
Gas	64	0.8990000001999999
Gas	65	0.8990000001999999
Gas	66	0.8990000001999999
Gas	67	0.8990000001999999
Gas	68	0.8990000001999999
Gas	69	0.8990000001999999
Gas	70	0.8990000001999999
Gas	71	0.8990000001999999
Gas	72	0.8990000001999999
Gas	73	0.8990000001999999
Gas	74	0.8990000001999999
Gas	75	0.8990000001999999
Gas	76	0.8990000001999999
Gas	77	0.8990000001999999
Gas	78	0.8990000001999999
Gas	79	0.8990000001999999
Gas	80	0.8990000001999999
Gas	81	0.8979287455
Gas	82	0.8939896417000001
Gas	83	0.8920200892
Gas	84	0.8900505372999999
Gas	85	0.8880809851
Gas	86	0.8880809851
Gas	87	0.8900505372999999
Gas	88	0.8939896417000001
Gas	89	0.8979287455
Gas	90	0.8990000001999999
Gas	91	0.8990000001999999
Gas	92	0.8990000001999999
Gas	93	0.8990000001999999
Gas	94	0.8990000001999999
Gas	95	0.8990000001999999
Gas	96	0.8990000001999999
Gas	97	0.8990000001999999
Gas	98	0.8990000001999999
Gas	99	0.8990000001999999
Gas	100	0.8990000001999999
Gas	101	0.8990000001999999
Gas	102	0.8990000001999999
Gas	103	0.8990000001999999
Gas	104	0.8990000001999999
Gas	105	0.8990000001999999
Gas	106	0.8990000001999999
Gas	107	0.8979287455
Gas	108	0.8959591936
Gas	109	0.8939896417000001
Gas	110	0.8939896417000001
Gas	111	0.8959591936
Gas	112	0.8990000001999999
Gas	113	0.8990000001999999
Gas	114	0.8990000001999999
Gas	115	0.8990000001999999
Gas	116	0.8990000001999999
Gas	117	0.8990000001999999
Gas	118	0.8990000001999999
Gas	119	0.8990000001999999
Gas	120	0.8990000001999999
Gas	121	0.8990000001999999
Gas	122	0.8990000001999999
Gas	123	0.8990000001999999
Gas	124	0.8990000001999999
Gas	125	0.8990000001999999
Gas	126	0.8990000001999999
Gas	127	0.8990000001999999
Gas	128	0.8990000001999999
Gas	129	0.8939896417000001
Gas	130	0.8880809851
Gas	131	0.8821723288000001
Gas	132	0.8802027766
Gas	133	0.8782332247
Gas	134	0.8802027766
Gas	135	0.8821723288000001
Gas	136	0.8861114332
Gas	137	0.8900505372999999
Gas	138	0.8920200892
Gas	139	0.8939896417000001
Gas	140	0.8959591936
Gas	141	0.8959591936
Gas	142	0.8959591936
Gas	143	0.8959591936
Gas	144	0.8979287455
Gas	145	0.8990000001999999
Gas	146	0.8990000001999999
Gas	147	0.8990000001999999
Gas	148	0.8990000001999999
Gas	149	0.8990000001999999
Gas	150	0.8990000001999999
Gas	151	0.8990000001999999
Gas	152	0.8990000001999999
Gas	153	0.8990000001999999
Gas	154	0.8990000001999999
Gas	155	0.8979287455
Gas	156	0.8959591936
Gas	157	0.8939896417000001
Gas	158	0.8939896417000001
Gas	159	0.8959591936
Gas	160	0.8990000001999999
Gas	161	0.8990000001999999
Gas	162	0.8990000001999999
Gas	163	0.8990000001999999
Gas	164	0.8990000001999999
Gas	165	0.8990000001999999
Gas	166	0.8990000001999999
Gas	167	0.8990000001999999
Gas	168	0.8990000001999999
