temporal_scenario_id,subproblem_id,stage_id,timepoint,horizon,balancing_type_horizon
2,1,1,20200101,202001,day
2,1,1,20200102,202001,day
2,1,1,20200103,202001,day
2,1,1,20200104,202001,day
2,1,1,20200201,202002,day
2,1,1,20200202,202002,day
2,1,1,20200203,202002,day
2,1,1,20200204,202002,day
2,1,1,20250101,202501,day
2,1,1,20250102,202501,day
2,1,1,20250103,202501,day
2,1,1,20250104,202501,day
2,1,1,20250201,202502,day
2,1,1,20250202,202502,day
2,1,1,20250203,202502,day
2,1,1,20250204,202502,day
