project	timepoint	availability_derate_weather
Gas	169	0.8990000001999999
Gas	170	0.8990000001999999
Gas	171	0.8990000001999999
Gas	172	0.8990000001999999
Gas	173	0.8990000001999999
Gas	174	0.8990000001999999
Gas	175	0.8990000001999999
Gas	176	0.8990000001999999
Gas	177	0.8979287455
Gas	178	0.8939896417000001
Gas	179	0.8920200892
Gas	180	0.8900505372999999
Gas	181	0.8880809851
Gas	182	0.8880809851
Gas	183	0.8900505372999999
Gas	184	0.8939896417000001
Gas	185	0.8979287455
Gas	186	0.8990000001999999
Gas	187	0.8990000001999999
Gas	188	0.8990000001999999
Gas	189	0.8990000001999999
Gas	190	0.8990000001999999
Gas	191	0.8990000001999999
Gas	192	0.8990000001999999
Gas	193	0.8990000001999999
Gas	194	0.8990000001999999
Gas	195	0.8990000001999999
Gas	196	0.8990000001999999
Gas	197	0.8990000001999999
Gas	198	0.8990000001999999
Gas	199	0.8990000001999999
Gas	200	0.8990000001999999
Gas	201	0.8979287455
Gas	202	0.8939896417000001
Gas	203	0.8920200892
Gas	204	0.8900505372999999
Gas	205	0.8880809851
Gas	206	0.8880809851
Gas	207	0.8900505372999999
Gas	208	0.8939896417000001
Gas	209	0.8979287455
Gas	210	0.8990000001999999
Gas	211	0.8990000001999999
Gas	212	0.8990000001999999
Gas	213	0.8990000001999999
Gas	214	0.8990000001999999
Gas	215	0.8990000001999999
Gas	216	0.8990000001999999
Gas	217	0.8990000001999999
Gas	218	0.8990000001999999
Gas	219	0.8990000001999999
Gas	220	0.8990000001999999
Gas	221	0.8990000001999999
Gas	222	0.8990000001999999
Gas	223	0.8990000001999999
Gas	224	0.8990000001999999
Gas	225	0.8979287455
Gas	226	0.8939896417000001
Gas	227	0.8920200892
Gas	228	0.8900505372999999
Gas	229	0.8880809851
Gas	230	0.8880809851
Gas	231	0.8900505372999999
Gas	232	0.8939896417000001
Gas	233	0.8979287455
Gas	234	0.8990000001999999
Gas	235	0.8990000001999999
Gas	236	0.8990000001999999
Gas	237	0.8990000001999999
Gas	238	0.8990000001999999
Gas	239	0.8990000001999999
Gas	240	0.8990000001999999
Gas	241	0.8990000001999999
Gas	242	0.8990000001999999
Gas	243	0.8990000001999999
Gas	244	0.8990000001999999
Gas	245	0.8990000001999999
Gas	246	0.8990000001999999
Gas	247	0.8990000001999999
Gas	248	0.8990000001999999
Gas	249	0.8979287455
Gas	250	0.8939896417000001
Gas	251	0.8920200892
Gas	252	0.8900505372999999
Gas	253	0.8880809851
Gas	254	0.8880809851
Gas	255	0.8900505372999999
Gas	256	0.8939896417000001
Gas	257	0.8979287455
Gas	258	0.8990000001999999
Gas	259	0.8990000001999999
Gas	260	0.8990000001999999
Gas	261	0.8990000001999999
Gas	262	0.8990000001999999
Gas	263	0.8990000001999999
Gas	264	0.8990000001999999
Gas	265	0.8990000001999999
Gas	266	0.8990000001999999
Gas	267	0.8990000001999999
Gas	268	0.8990000001999999
Gas	269	0.8990000001999999
Gas	270	0.8990000001999999
Gas	271	0.8990000001999999
Gas	272	0.8990000001999999
Gas	273	0.8990000001999999
Gas	274	0.8990000001999999
Gas	275	0.8979287455
Gas	276	0.8959591936
Gas	277	0.8939896417000001
Gas	278	0.8939896417000001
Gas	279	0.8959591936
Gas	280	0.8990000001999999
Gas	281	0.8990000001999999
Gas	282	0.8990000001999999
Gas	283	0.8990000001999999
Gas	284	0.8990000001999999
Gas	285	0.8990000001999999
Gas	286	0.8990000001999999
Gas	287	0.8990000001999999
Gas	288	0.8990000001999999
Gas	289	0.8990000001999999
Gas	290	0.8990000001999999
Gas	291	0.8990000001999999
Gas	292	0.8990000001999999
Gas	293	0.8990000001999999
Gas	294	0.8990000001999999
Gas	295	0.8990000001999999
Gas	296	0.8990000001999999
Gas	297	0.8939896417000001
Gas	298	0.8880809851
Gas	299	0.8821723288000001
Gas	300	0.8802027766
Gas	301	0.8782332247
Gas	302	0.8802027766
Gas	303	0.8821723288000001
Gas	304	0.8861114332
Gas	305	0.8900505372999999
Gas	306	0.8920200892
Gas	307	0.8939896417000001
Gas	308	0.8959591936
Gas	309	0.8959591936
Gas	310	0.8959591936
Gas	311	0.8959591936
Gas	312	0.8979287455
Gas	313	0.8990000001999999
Gas	314	0.8990000001999999
Gas	315	0.8979287455
Gas	316	0.8979287455
Gas	317	0.8990000001999999
Gas	318	0.8990000001999999
Gas	319	0.8990000001999999
Gas	320	0.8979287455
Gas	321	0.8920200892
Gas	322	0.8861114332
Gas	323	0.8802027766
Gas	324	0.8782332247
Gas	325	0.8762636728
Gas	326	0.8762636728
Gas	327	0.8782332247
Gas	328	0.8841418812999999
Gas	329	0.8900505372999999
Gas	330	0.8939896417000001
Gas	331	0.8959591936
Gas	332	0.8979287455
Gas	333	0.8979287455
Gas	334	0.8979287455
Gas	335	0.8979287455
Gas	336	0.8990000001999999
