load_scenario_id,load_zone,stage_id,timepoint,load_mw
1,Isengard,1,20200101,150
1,Isengard,1,20200102,300
1,Isengard,1,20200103,200
1,Isengard,1,20200104,250
1,Isengard,1,20200201,200
1,Isengard,1,20200202,400
1,Isengard,1,20200203,300
1,Isengard,1,20200204,450
1,Isengard,1,20250101,250
1,Isengard,1,20250102,400
1,Isengard,1,20250103,300
1,Isengard,1,20250104,350
1,Isengard,1,20250201,300
1,Isengard,1,20250202,500
1,Isengard,1,20250203,400
1,Isengard,1,20250204,550
1,Rivendell,1,20200101,50
1,Rivendell,1,20200102,100
1,Rivendell,1,20200103,150
1,Rivendell,1,20200104,250
1,Rivendell,1,20200201,100
1,Rivendell,1,20200202,100
1,Rivendell,1,20200203,150
1,Rivendell,1,20200204,150
1,Rivendell,1,20250101,50
1,Rivendell,1,20250102,100
1,Rivendell,1,20250103,150
1,Rivendell,1,20250104,250
1,Rivendell,1,20250201,100
1,Rivendell,1,20250202,100
1,Rivendell,1,20250203,150
1,Rivendell,1,20250204,150
