project	timepoint	availability_derate_independent	hyb_stor_cap_availability_derate_independent
Batteries	169	0.965	.
Batteries	170	0.965	.
Batteries	171	0.965	.
Batteries	172	0.965	.
Batteries	173	0.965	.
Batteries	174	0.965	.
Batteries	175	0.965	.
Batteries	176	0.965	.
Batteries	177	0.965	.
Batteries	178	0.965	.
Batteries	179	0.965	.
Batteries	180	0.965	.
Batteries	181	0.965	.
Batteries	182	0.965	.
Batteries	183	0.965	.
Batteries	184	0.965	.
Batteries	185	0.965	.
Batteries	186	0.965	.
Batteries	187	0.965	.
Batteries	188	0.965	.
Batteries	189	0.965	.
Batteries	190	0.965	.
Batteries	191	0.965	.
Batteries	192	0.965	.
Batteries	193	0.965	.
Batteries	194	0.965	.
Batteries	195	0.965	.
Batteries	196	0.965	.
Batteries	197	0.965	.
Batteries	198	0.965	.
Batteries	199	0.965	.
Batteries	200	0.965	.
Batteries	201	0.965	.
Batteries	202	0.965	.
Batteries	203	0.965	.
Batteries	204	0.965	.
Batteries	205	0.965	.
Batteries	206	0.965	.
Batteries	207	0.965	.
Batteries	208	0.965	.
Batteries	209	0.965	.
Batteries	210	0.965	.
Batteries	211	0.965	.
Batteries	212	0.965	.
Batteries	213	0.965	.
Batteries	214	0.965	.
Batteries	215	0.965	.
Batteries	216	0.965	.
Batteries	217	0.965	.
Batteries	218	0.965	.
Batteries	219	0.965	.
Batteries	220	0.965	.
Batteries	221	0.965	.
Batteries	222	0.965	.
Batteries	223	0.965	.
Batteries	224	0.965	.
Batteries	225	0.965	.
Batteries	226	0.965	.
Batteries	227	0.965	.
Batteries	228	0.965	.
Batteries	229	0.965	.
Batteries	230	0.965	.
Batteries	231	0.965	.
Batteries	232	0.965	.
Batteries	233	0.965	.
Batteries	234	0.965	.
Batteries	235	0.965	.
Batteries	236	0.965	.
Batteries	237	0.965	.
Batteries	238	0.965	.
Batteries	239	0.965	.
Batteries	240	0.965	.
Batteries	241	0.965	.
Batteries	242	0.965	.
Batteries	243	0.965	.
Batteries	244	0.965	.
Batteries	245	0.965	.
Batteries	246	0.965	.
Batteries	247	0.965	.
Batteries	248	0.965	.
Batteries	249	0.965	.
Batteries	250	0.965	.
Batteries	251	0.965	.
Batteries	252	0.965	.
Batteries	253	0.965	.
Batteries	254	0.965	.
Batteries	255	0.965	.
Batteries	256	0.965	.
Batteries	257	0.965	.
Batteries	258	0.965	.
Batteries	259	0.965	.
Batteries	260	0.965	.
Batteries	261	0.965	.
Batteries	262	0.965	.
Batteries	263	0.965	.
Batteries	264	0.965	.
Batteries	265	0.965	.
Batteries	266	0.965	.
Batteries	267	0.965	.
Batteries	268	0.965	.
Batteries	269	0.965	.
Batteries	270	0.965	.
Batteries	271	0.965	.
Batteries	272	0.965	.
Batteries	273	0.965	.
Batteries	274	0.965	.
Batteries	275	0.965	.
Batteries	276	0.965	.
Batteries	277	0.965	.
Batteries	278	0.965	.
Batteries	279	0.965	.
Batteries	280	0.965	.
Batteries	281	0.965	.
Batteries	282	0.965	.
Batteries	283	0.965	.
Batteries	284	0.965	.
Batteries	285	0.965	.
Batteries	286	0.965	.
Batteries	287	0.965	.
Batteries	288	0.965	.
Batteries	289	0.965	.
Batteries	290	0.965	.
Batteries	291	0.965	.
Batteries	292	0.965	.
Batteries	293	0.965	.
Batteries	294	0.965	.
Batteries	295	0.965	.
Batteries	296	0.965	.
Batteries	297	0.965	.
Batteries	298	0.965	.
Batteries	299	0.965	.
Batteries	300	0.965	.
Batteries	301	0.965	.
Batteries	302	0.965	.
Batteries	303	0.965	.
Batteries	304	0.965	.
Batteries	305	0.965	.
Batteries	306	0.965	.
Batteries	307	0.965	.
Batteries	308	0.965	.
Batteries	309	0.965	.
Batteries	310	0.965	.
Batteries	311	0.965	.
Batteries	312	0.965	.
Batteries	313	0.965	.
Batteries	314	0.965	.
Batteries	315	0.965	.
Batteries	316	0.965	.
Batteries	317	0.965	.
Batteries	318	0.965	.
Batteries	319	0.965	.
Batteries	320	0.965	.
Batteries	321	0.965	.
Batteries	322	0.965	.
Batteries	323	0.965	.
Batteries	324	0.965	.
Batteries	325	0.965	.
Batteries	326	0.965	.
Batteries	327	0.965	.
Batteries	328	0.965	.
Batteries	329	0.965	.
Batteries	330	0.965	.
Batteries	331	0.965	.
Batteries	332	0.965	.
Batteries	333	0.965	.
Batteries	334	0.965	.
Batteries	335	0.965	.
Batteries	336	0.965	.
Gas	169	0.8999999999999999	.
Gas	170	0.8999999999999999	.
Gas	171	0.8999999999999999	.
Gas	172	0.8999999999999999	.
Gas	173	0.8999999999999999	.
Gas	174	0.8999999999999999	.
Gas	175	0.8999999999999999	.
Gas	176	0.8999999999999999	.
Gas	177	0.8999999999999999	.
Gas	178	0.8999999999999999	.
Gas	179	0.8999999999999999	.
Gas	180	0.8999999999999999	.
Gas	181	0.8999999999999999	.
Gas	182	0.8999999999999999	.
Gas	183	0.8999999999999999	.
Gas	184	0.8999999999999999	.
Gas	185	0.8999999999999999	.
Gas	186	0.8999999999999999	.
Gas	187	0.8999999999999999	.
Gas	188	0.8999999999999999	.
Gas	189	0.8999999999999999	.
Gas	190	0.8999999999999999	.
Gas	191	0.8999999999999999	.
Gas	192	0.8999999999999999	.
Gas	193	0.8999999999999999	.
Gas	194	0.8999999999999999	.
Gas	195	0.8999999999999999	.
Gas	196	0.8999999999999999	.
Gas	197	0.8999999999999999	.
Gas	198	0.8999999999999999	.
Gas	199	0.8999999999999999	.
Gas	200	0.8999999999999999	.
Gas	201	0.8999999999999999	.
Gas	202	0.8999999999999999	.
Gas	203	0.8999999999999999	.
Gas	204	0.8999999999999999	.
Gas	205	0.8999999999999999	.
Gas	206	0.8999999999999999	.
Gas	207	0.8999999999999999	.
Gas	208	0.8999999999999999	.
Gas	209	0.8999999999999999	.
Gas	210	0.8999999999999999	.
Gas	211	0.8999999999999999	.
Gas	212	0.8999999999999999	.
Gas	213	0.8999999999999999	.
Gas	214	0.8999999999999999	.
Gas	215	0.8999999999999999	.
Gas	216	0.8999999999999999	.
Gas	217	0.8999999999999999	.
Gas	218	1.0	.
Gas	219	1.0	.
Gas	220	1.0	.
Gas	221	1.0	.
Gas	222	1.0	.
Gas	223	1.0	.
Gas	224	1.0	.
Gas	225	1.0	.
Gas	226	1.0	.
Gas	227	1.0	.
Gas	228	1.0	.
Gas	229	1.0	.
Gas	230	1.0	.
Gas	231	1.0	.
Gas	232	1.0	.
Gas	233	1.0	.
Gas	234	1.0	.
Gas	235	1.0	.
Gas	236	1.0	.
Gas	237	1.0	.
Gas	238	1.0	.
Gas	239	1.0	.
Gas	240	1.0	.
Gas	241	1.0	.
Gas	242	1.0	.
Gas	243	1.0	.
Gas	244	1.0	.
Gas	245	1.0	.
Gas	246	1.0	.
Gas	247	1.0	.
Gas	248	1.0	.
Gas	249	1.0	.
Gas	250	1.0	.
Gas	251	1.0	.
Gas	252	1.0	.
Gas	253	1.0	.
Gas	254	1.0	.
Gas	255	1.0	.
Gas	256	0.7	.
Gas	257	0.7	.
Gas	258	0.7	.
Gas	259	0.7	.
Gas	260	0.7	.
Gas	261	0.7	.
Gas	262	0.7	.
Gas	263	0.7	.
Gas	264	0.7	.
Gas	265	0.7	.
Gas	266	0.7	.
Gas	267	0.7	.
Gas	268	0.7	.
Gas	269	0.7	.
Gas	270	0.7	.
Gas	271	0.7	.
Gas	272	0.7	.
Gas	273	0.7	.
Gas	274	0.7	.
Gas	275	0.7	.
Gas	276	0.7	.
Gas	277	0.7	.
Gas	278	0.7	.
Gas	279	0.7	.
Gas	280	0.7	.
Gas	281	1.0	.
Gas	282	1.0	.
Gas	283	0.7	.
Gas	284	0.7	.
Gas	285	0.7	.
Gas	286	0.7	.
Gas	287	0.7	.
Gas	288	0.7	.
Gas	289	0.7	.
Gas	290	1.0	.
Gas	291	1.0	.
Gas	292	1.0	.
Gas	293	1.0	.
Gas	294	1.0	.
Gas	295	1.0	.
Gas	296	1.0	.
Gas	297	1.0	.
Gas	298	1.0	.
Gas	299	1.0	.
Gas	300	1.0	.
Gas	301	1.0	.
Gas	302	1.0	.
Gas	303	1.0	.
Gas	304	1.0	.
Gas	305	1.0	.
Gas	306	1.0	.
Gas	307	1.0	.
Gas	308	1.0	.
Gas	309	1.0	.
Gas	310	1.0	.
Gas	311	1.0	.
Gas	312	1.0	.
Gas	313	1.0	.
Gas	314	1.0	.
Gas	315	1.0	.
Gas	316	1.0	.
Gas	317	1.0	.
Gas	318	1.0	.
Gas	319	1.0	.
Gas	320	1.0	.
Gas	321	1.0	.
Gas	322	1.0	.
Gas	323	1.0	.
Gas	324	1.0	.
Gas	325	1.0	.
Gas	326	1.0	.
Gas	327	1.0	.
Gas	328	1.0	.
Gas	329	1.0	.
Gas	330	1.0	.
Gas	331	1.0	.
Gas	332	1.0	.
Gas	333	1.0	.
Gas	334	1.0	.
Gas	335	1.0	.
Gas	336	1.0	.
Hybrid	169	0.965	0.965
Hybrid	170	0.965	0.965
Hybrid	171	0.965	0.965
Hybrid	172	0.965	0.965
Hybrid	173	0.965	0.965
Hybrid	174	0.965	0.965
Hybrid	175	0.965	0.965
Hybrid	176	0.965	0.965
Hybrid	177	0.965	0.965
Hybrid	178	0.965	0.965
Hybrid	179	0.965	0.965
Hybrid	180	0.965	0.965
Hybrid	181	0.965	0.965
Hybrid	182	0.965	0.965
Hybrid	183	0.965	0.965
Hybrid	184	0.965	0.965
Hybrid	185	0.965	0.965
Hybrid	186	0.965	0.965
Hybrid	187	0.965	0.965
Hybrid	188	0.965	0.965
Hybrid	189	0.965	0.965
Hybrid	190	0.965	0.965
Hybrid	191	0.965	0.965
Hybrid	192	0.965	0.965
Hybrid	193	0.965	0.965
Hybrid	194	0.965	0.965
Hybrid	195	0.965	0.965
Hybrid	196	0.965	0.965
Hybrid	197	0.965	0.965
Hybrid	198	0.965	0.965
Hybrid	199	0.965	0.965
Hybrid	200	0.965	0.965
Hybrid	201	0.965	0.965
Hybrid	202	0.965	0.965
Hybrid	203	0.965	0.965
Hybrid	204	0.965	0.965
Hybrid	205	0.965	0.965
Hybrid	206	0.965	0.965
Hybrid	207	0.965	0.965
