project_elcc_chars_scenario_id,project,prm_type,elcc_simple_fraction,contributes_to_elcc_surface,min_duration_for_full_capacity_credit_hours,deliverability_group
1,Nuclear,fully_deliverable,0.8,,,
1,Coal,fully_deliverable,0.8,,,
1,Gas_CCGT,fully_deliverable,0.8,,,
1,Gas_CT,fully_deliverable,0.8,,,
1,Wind,fully_deliverable,0.8,,,
1,Battery,fully_deliverable,0.8,,4,
1,Hydro,fully_deliverable,0.8,,,
1,Gas_CCGT_new,fully_deliverable,0.8,,,
1,Gas_CT_new,fully_deliverable,0.8,,,
1,Solar,fully_deliverable,0.8,,,
1,Nuclear_z2,fully_deliverable,0.8,,,
1,Coal_z2,fully_deliverable,0.8,,,
1,Gas_CCGT_z2,fully_deliverable,0.8,,,
1,Gas_CT_z2,fully_deliverable,0.8,,,
1,Wind_z2,fully_deliverable,0.8,,,
1,Battery_z2,fully_deliverable,0.8,,4,
1,Gas_CCGT_new_z2,fully_deliverable,0.8,,,
1,Gas_CT_new_z2,fully_deliverable,0.8,,,
1,Solar_z2,fully_deliverable,0.8,,,
1,Clunky_Old_Gen,fully_deliverable,0.8,,,
1,Wind_new,fully_deliverable,0.8,,,
