load_scenario_id,load_zone,stage_id,timepoint,load_mw
1,Zone1,1,20200101,546
1,Zone1,1,20200102,533
1,Zone1,1,20200103,534
1,Zone1,1,20200104,539
1,Zone1,1,20200105,553
1,Zone1,1,20200106,574
1,Zone1,1,20200107,599
1,Zone1,1,20200108,623
1,Zone1,1,20200109,642
1,Zone1,1,20200110,653
1,Zone1,1,20200111,653
1,Zone1,1,20200112,647
1,Zone1,1,20200113,637
1,Zone1,1,20200114,626
1,Zone1,1,20200115,616
1,Zone1,1,20200116,614
1,Zone1,1,20200117,617
1,Zone1,1,20200118,622
1,Zone1,1,20200119,622
1,Zone1,1,20200120,616
1,Zone1,1,20200121,604
1,Zone1,1,20200122,585
1,Zone1,1,20200123,564
1,Zone1,1,20200124,546
1,Zone1,1,20200201,705
1,Zone1,1,20200202,690
1,Zone1,1,20200203,677
1,Zone1,1,20200204,671
1,Zone1,1,20200205,667
1,Zone1,1,20200206,666
1,Zone1,1,20200207,667
1,Zone1,1,20200208,670
1,Zone1,1,20200209,673
1,Zone1,1,20200210,676
1,Zone1,1,20200211,681
1,Zone1,1,20200212,687
1,Zone1,1,20200213,694
1,Zone1,1,20200214,700
1,Zone1,1,20200215,704
1,Zone1,1,20200216,705
1,Zone1,1,20200217,704
1,Zone1,1,20200218,709
1,Zone1,1,20200219,717
1,Zone1,1,20200220,726
1,Zone1,1,20200221,736
1,Zone1,1,20200222,743
1,Zone1,1,20200223,742
1,Zone1,1,20200224,734
1,Zone1,1,20250101,910
1,Zone1,1,20250102,888
1,Zone1,1,20250103,890
1,Zone1,1,20250104,898
1,Zone1,1,20250105,921
1,Zone1,1,20250106,957
1,Zone1,1,20250107,998
1,Zone1,1,20250108,1038
1,Zone1,1,20250109,1070
1,Zone1,1,20250110,1088
1,Zone1,1,20250111,1088
1,Zone1,1,20250112,1078
1,Zone1,1,20250113,1061
1,Zone1,1,20250114,1043
1,Zone1,1,20250115,1027
1,Zone1,1,20250116,1023
1,Zone1,1,20250117,1029
1,Zone1,1,20250118,1037
1,Zone1,1,20250119,1036
1,Zone1,1,20250120,1027
1,Zone1,1,20250121,1007
1,Zone1,1,20250122,975
1,Zone1,1,20250123,939
1,Zone1,1,20250124,910
1,Zone1,1,20250201,1175
1,Zone1,1,20250202,1150
1,Zone1,1,20250203,1128
1,Zone1,1,20250204,1118
1,Zone1,1,20250205,1112
1,Zone1,1,20250206,1110
1,Zone1,1,20250207,1112
1,Zone1,1,20250208,1117
1,Zone1,1,20250209,1121
1,Zone1,1,20250210,1127
1,Zone1,1,20250211,1135
1,Zone1,1,20250212,1145
1,Zone1,1,20250213,1157
1,Zone1,1,20250214,1166
1,Zone1,1,20250215,1173
1,Zone1,1,20250216,1175
1,Zone1,1,20250217,1173
1,Zone1,1,20250218,1181
1,Zone1,1,20250219,1195
1,Zone1,1,20250220,1210
1,Zone1,1,20250221,1226
1,Zone1,1,20250222,1239
1,Zone1,1,20250223,1236
1,Zone1,1,20250224,1224
1,Zone2,1,20200101,728
1,Zone2,1,20200102,711
1,Zone2,1,20200103,712
1,Zone2,1,20200104,718
1,Zone2,1,20200105,737
1,Zone2,1,20200106,766
1,Zone2,1,20200107,799
1,Zone2,1,20200108,831
1,Zone2,1,20200109,856
1,Zone2,1,20200110,870
1,Zone2,1,20200111,871
1,Zone2,1,20200112,862
1,Zone2,1,20200113,849
1,Zone2,1,20200114,834
1,Zone2,1,20200115,822
1,Zone2,1,20200116,818
1,Zone2,1,20200117,823
1,Zone2,1,20200118,829
1,Zone2,1,20200119,829
1,Zone2,1,20200120,821
1,Zone2,1,20200121,806
1,Zone2,1,20200122,780
