project,variable_generator_profile_scenario_id,stage_id,timepoint,cap_factor
solar_new,1,1,20200101,0
solar_new,1,1,20200102,0.4
solar_new,1,1,20200103,0.4
solar_new,1,1,20200104,0
solar_new,1,1,20200201,0
solar_new,1,1,20200202,0.45
solar_new,1,1,20200203,0.45
solar_new,1,1,20200204,0
solar_new,1,1,20250101,0
solar_new,1,1,20250102,0.4
solar_new,1,1,20250103,0.4
solar_new,1,1,20250104,0
solar_new,1,1,20250201,0
solar_new,1,1,20250202,0.45
solar_new,1,1,20250203,0.45
solar_new,1,1,20250204,0
