load_zone	timepoint	load_component	load_mw
Zone1	169	all	1446.021146
Zone1	170	all	1445.186422
Zone1	171	all	1434.891486
Zone1	172	all	1468.83695
Zone1	173	all	1562.047858
Zone1	174	all	1705.063996
Zone1	175	all	1776.850306
Zone1	176	all	1751.80857
Zone1	177	all	1721.202004
Zone1	178	all	1695.325542
Zone1	179	all	1647.746244
Zone1	180	all	1623.539232
Zone1	181	all	1606.288259
Zone1	182	all	1614.635503
Zone1	183	all	1640.511965
Zone1	184	all	1708.959377
Zone1	185	all	1824.986088
Zone1	186	all	1818.03005
Zone1	187	all	1789.649416
Zone1	188	all	1758.208124
Zone1	189	all	1677.796327
Zone1	190	all	1598.775737
Zone1	191	all	1529.4936
Zone1	192	all	1474.680023
Zone1	193	all	1433.500278
Zone1	194	all	1427.100724
Zone1	195	all	1439.065109
Zone1	196	all	1473.567056
Zone1	197	all	1548.414023
Zone1	198	all	1651.641625
Zone1	199	all	1690.873679
Zone1	200	all	1704.785754
Zone1	201	all	1683.91764
Zone1	202	all	1676.126878
Zone1	203	all	1641.068448
Zone1	204	all	1609.348915
Zone1	205	all	1582.63773
Zone1	206	all	1582.63773
Zone1	207	all	1599.610462
Zone1	208	all	1658.875904
Zone1	209	all	1779.632722
Zone1	210	all	1778.519755
Zone1	211	all	1730.105731
Zone1	212	all	1680.022259
Zone1	213	all	1600.723428
Zone1	214	all	1544.240401
Zone1	215	all	1505.286589
Zone1	216	all	1475.514746
Zone1	217	all	1425.153032
Zone1	218	all	1404.006678
Zone1	219	all	1393.989983
Zone1	220	all	1414.301614
Zone1	221	all	1450.751252
Zone1	222	all	1500.278242
Zone1	223	all	1535.058431
Zone1	224	all	1547.579299
Zone1	225	all	1552.031164
Zone1	226	all	1539.788537
Zone1	227	all	1515.859766
Zone1	228	all	1489.426823
Zone1	229	all	1489.148581
Zone1	230	all	1506.121313
Zone1	231	all	1532.832499
Zone1	232	all	1594.602115
Zone1	233	all	1706.176962
Zone1	234	all	1700.612131
Zone1	235	all	1666.110184
Zone1	236	all	1627.991096
Zone1	237	all	1591.819699
Zone1	238	all	1516.972733
Zone1	239	all	1469.949917
Zone1	240	all	1429.604897
Zone1	241	all	1402.337228
Zone1	242	all	1395.381191
Zone1	243	all	1392.320534
Zone1	244	all	1406.510851
Zone1	245	all	1433.500278
Zone1	246	all	1476.627713
Zone1	247	all	1523.372287
Zone1	248	all	1527.824152
Zone1	249	all	1525.319977
Zone1	250	all	1512.242627
Zone1	251	all	1490.539788
Zone1	252	all	1469.949917
Zone1	253	all	1479.131886
Zone1	254	all	1484.696717
Zone1	255	all	1510.294936
Zone1	256	all	1586.25487
Zone1	257	all	1710.072343
Zone1	258	all	1742.6266
Zone1	259	all	1717.306622
Zone1	260	all	1678.074569
Zone1	261	all	1612.966055
Zone1	262	all	1513.633834
Zone1	263	all	1449.360044
Zone1	264	all	1432.109071
Zone1	265	all	1481.357819
Zone1	266	all	1483.027267
Zone1	267	all	1491.652754
Zone1	268	all	1523.372287
Zone1	269	all	1611.574847
Zone1	270	all	1752.086812
Zone1	271	all	1794.379522
Zone1	272	all	1768.22482
Zone1	273	all	1725.375626
Zone1	274	all	1694.212577
Zone1	275	all	1660.267112
Zone1	276	all	1636.894825
Zone1	277	all	1619.643851
Zone1	278	all	1628.269338
Zone1	279	all	1668.614357
Zone1	280	all	1739.00946
Zone1	281	all	1840.01113
Zone1	282	all	1846.967167
Zone1	283	all	1805.509182
Zone1	284	all	1759.877574
Zone1	285	all	1680.022259
Zone1	286	all	1596.271564
Zone1	287	all	1529.215358
Zone1	288	all	1497.217585
Zone1	289	all	1407.345576
Zone1	290	all	1392.042293
Zone1	291	all	1393.155259
Zone1	292	all	1422.927101
Zone1	293	all	1489.983306
Zone1	294	all	1570.951586
Zone1	295	all	1635.225376
Zone1	296	all	1651.919867
Zone1	297	all	1625.765164
Zone1	298	all	1606.844741
Zone1	299	all	1592.097941
Zone1	300	all	1578.742349
Zone1	301	all	1577.072899
Zone1	302	all	1585.698386
Zone1	303	all	1604.618809
Zone1	304	all	1669.449082
Zone1	305	all	1795.770728
Zone1	306	all	1801.335559
Zone1	307	all	1754.034502
Zone1	308	all	1703.394546
Zone1	309	all	1622.148024
Zone1	310	all	1542.849193
Zone1	311	all	1478.018921
Zone1	312	all	1439.065109
Zone1	313	all	1429.048414
Zone1	314	all	1431.552588
Zone1	315	all	1437.395659
Zone1	316	all	1464.663328
Zone1	317	all	1524.207012
Zone1	318	all	1670.562048
Zone1	319	all	1721.202004
Zone1	320	all	1686.978298
Zone1	321	all	1640.790206
Zone1	322	all	1610.46188
Zone1	323	all	1575.959933
Zone1	324	all	1551.752922
Zone1	325	all	1527.267668
Zone1	326	all	1529.4936
Zone1	327	all	1540.901502
Zone1	328	all	1582.359488
Zone1	329	all	1682.804675
Zone1	330	all	1723.984418
Zone1	331	all	1698.107958
Zone1	332	all	1660.267112
Zone1	333	all	1597.941013
Zone1	334	all	1530.050083
Zone1	335	all	1482.470785
Zone1	336	all	1450.194769
