timepoint	period	timepoint_weight	number_of_hours_in_timepoint	previous_stage_timepoint_map	month	day_of_month	hour_of_day
169	2026	1.0	1	.	1	8	1.0
170	2026	1.0	1	.	1	8	2.0
171	2026	1.0	1	.	1	8	3.0
172	2026	1.0	1	.	1	8	4.0
173	2026	1.0	1	.	1	8	5.0
174	2026	1.0	1	.	1	8	6.0
175	2026	1.0	1	.	1	8	7.0
176	2026	1.0	1	.	1	8	8.0
177	2026	1.0	1	.	1	8	9.0
178	2026	1.0	1	.	1	8	10.0
179	2026	1.0	1	.	1	8	11.0
180	2026	1.0	1	.	1	8	12.0
181	2026	1.0	1	.	1	8	13.0
182	2026	1.0	1	.	1	8	14.0
183	2026	1.0	1	.	1	8	15.0
184	2026	1.0	1	.	1	8	16.0
185	2026	1.0	1	.	1	8	17.0
186	2026	1.0	1	.	1	8	18.0
187	2026	1.0	1	.	1	8	19.0
188	2026	1.0	1	.	1	8	20.0
189	2026	1.0	1	.	1	8	21.0
190	2026	1.0	1	.	1	8	22.0
191	2026	1.0	1	.	1	8	23.0
192	2026	1.0	1	.	1	8	24.0
193	2026	1.0	1	.	1	9	1.0
194	2026	1.0	1	.	1	9	2.0
195	2026	1.0	1	.	1	9	3.0
196	2026	1.0	1	.	1	9	4.0
197	2026	1.0	1	.	1	9	5.0
198	2026	1.0	1	.	1	9	6.0
199	2026	1.0	1	.	1	9	7.0
200	2026	1.0	1	.	1	9	8.0
201	2026	1.0	1	.	1	9	9.0
202	2026	1.0	1	.	1	9	10.0
203	2026	1.0	1	.	1	9	11.0
204	2026	1.0	1	.	1	9	12.0
205	2026	1.0	1	.	1	9	13.0
206	2026	1.0	1	.	1	9	14.0
207	2026	1.0	1	.	1	9	15.0
208	2026	1.0	1	.	1	9	16.0
209	2026	1.0	1	.	1	9	17.0
210	2026	1.0	1	.	1	9	18.0
211	2026	1.0	1	.	1	9	19.0
212	2026	1.0	1	.	1	9	20.0
213	2026	1.0	1	.	1	9	21.0
214	2026	1.0	1	.	1	9	22.0
215	2026	1.0	1	.	1	9	23.0
216	2026	1.0	1	.	1	9	24.0
217	2026	1.0	1	.	1	10	1.0
218	2026	1.0	1	.	1	10	2.0
219	2026	1.0	1	.	1	10	3.0
220	2026	1.0	1	.	1	10	4.0
221	2026	1.0	1	.	1	10	5.0
222	2026	1.0	1	.	1	10	6.0
223	2026	1.0	1	.	1	10	7.0
224	2026	1.0	1	.	1	10	8.0
225	2026	1.0	1	.	1	10	9.0
226	2026	1.0	1	.	1	10	10.0
227	2026	1.0	1	.	1	10	11.0
228	2026	1.0	1	.	1	10	12.0
229	2026	1.0	1	.	1	10	13.0
230	2026	1.0	1	.	1	10	14.0
231	2026	1.0	1	.	1	10	15.0
232	2026	1.0	1	.	1	10	16.0
233	2026	1.0	1	.	1	10	17.0
234	2026	1.0	1	.	1	10	18.0
235	2026	1.0	1	.	1	10	19.0
236	2026	1.0	1	.	1	10	20.0
237	2026	1.0	1	.	1	10	21.0
238	2026	1.0	1	.	1	10	22.0
239	2026	1.0	1	.	1	10	23.0
240	2026	1.0	1	.	1	10	24.0
241	2026	1.0	1	.	1	11	1.0
242	2026	1.0	1	.	1	11	2.0
243	2026	1.0	1	.	1	11	3.0
244	2026	1.0	1	.	1	11	4.0
245	2026	1.0	1	.	1	11	5.0
246	2026	1.0	1	.	1	11	6.0
247	2026	1.0	1	.	1	11	7.0
248	2026	1.0	1	.	1	11	8.0
249	2026	1.0	1	.	1	11	9.0
250	2026	1.0	1	.	1	11	10.0
251	2026	1.0	1	.	1	11	11.0
252	2026	1.0	1	.	1	11	12.0
253	2026	1.0	1	.	1	11	13.0
254	2026	1.0	1	.	1	11	14.0
255	2026	1.0	1	.	1	11	15.0
256	2026	1.0	1	.	1	11	16.0
257	2026	1.0	1	.	1	11	17.0
258	2026	1.0	1	.	1	11	18.0
259	2026	1.0	1	.	1	11	19.0
260	2026	1.0	1	.	1	11	20.0
261	2026	1.0	1	.	1	11	21.0
262	2026	1.0	1	.	1	11	22.0
263	2026	1.0	1	.	1	11	23.0
264	2026	1.0	1	.	1	11	24.0
265	2026	1.0	1	.	1	12	1.0
266	2026	1.0	1	.	1	12	2.0
267	2026	1.0	1	.	1	12	3.0
268	2026	1.0	1	.	1	12	4.0
269	2026	1.0	1	.	1	12	5.0
270	2026	1.0	1	.	1	12	6.0
271	2026	1.0	1	.	1	12	7.0
272	2026	1.0	1	.	1	12	8.0
273	2026	1.0	1	.	1	12	9.0
274	2026	1.0	1	.	1	12	10.0
275	2026	1.0	1	.	1	12	11.0
276	2026	1.0	1	.	1	12	12.0
277	2026	1.0	1	.	1	12	13.0
278	2026	1.0	1	.	1	12	14.0
279	2026	1.0	1	.	1	12	15.0
280	2026	1.0	1	.	1	12	16.0
281	2026	1.0	1	.	1	12	17.0
282	2026	1.0	1	.	1	12	18.0
283	2026	1.0	1	.	1	12	19.0
284	2026	1.0	1	.	1	12	20.0
285	2026	1.0	1	.	1	12	21.0
