regulation_down_scenario_id,regulation_down_ba,stage_id,timepoint,regulation_down_mw
2,Zone1,1,20200101,2
2,Zone1,1,20200102,4
2,Zone1,1,20200201,2
2,Zone1,1,20200202,4
2,Zone1,1,20200301,2
2,Zone1,1,20200302,4
2,Zone1,1,20300101,2
2,Zone1,1,20300102,4
2,Zone1,1,20300201,2
2,Zone1,1,20300202,4
2,Zone1,1,20300301,2
2,Zone1,1,20300302,4
2,Zone1,2,20200101,2
2,Zone1,2,20200102,4
2,Zone1,2,20200201,2
2,Zone1,2,20200202,4
2,Zone1,2,20200301,2
2,Zone1,2,20200302,4
2,Zone1,2,20300101,2
2,Zone1,2,20300102,4
2,Zone1,2,20300201,2
2,Zone1,2,20300202,4
2,Zone1,2,20300301,2
2,Zone1,2,20300302,4
2,Zone2,1,20200101,2
2,Zone2,1,20200102,4
2,Zone2,1,20200201,2
2,Zone2,1,20200202,4
2,Zone2,1,20200301,2
2,Zone2,1,20200302,4
2,Zone2,1,20300101,2
2,Zone2,1,20300102,4
2,Zone2,1,20300201,2
2,Zone2,1,20300202,4
2,Zone2,1,20300301,2
2,Zone2,1,20300302,4
2,Zone2,2,20200101,2
2,Zone2,2,20200102,4
2,Zone2,2,20200201,2
2,Zone2,2,20200202,4
2,Zone2,2,20200301,2
2,Zone2,2,20200302,4
2,Zone2,2,20300101,2
2,Zone2,2,20300102,4
2,Zone2,2,20300201,2
2,Zone2,2,20300202,4
2,Zone2,2,20300301,2
2,Zone2,2,20300302,4
