temporal_scenario_id,subproblem_id,horizon,balancing_type_horizon,period,boundary
1,1,2020001,day,2020,circular
1,1,2020002,day,2020,circular
1,1,2020003,day,2020,circular
1,1,2020004,day,2020,circular
1,1,2020005,day,2020,circular
1,1,2020006,day,2020,circular
1,1,2020007,day,2020,circular
1,1,2020008,day,2020,circular
1,1,2020009,day,2020,circular
1,1,2020010,day,2020,circular
1,1,2020011,day,2020,circular
1,1,2020012,day,2020,circular
1,1,2020013,day,2020,circular
1,1,2020014,day,2020,circular
1,1,2020015,day,2020,circular
1,1,2020016,day,2020,circular
1,1,2020017,day,2020,circular
1,1,2020018,day,2020,circular
1,1,2020019,day,2020,circular
1,1,2020020,day,2020,circular
1,1,2020021,day,2020,circular
1,1,2020022,day,2020,circular
1,1,2020023,day,2020,circular
1,1,2020024,day,2020,circular
1,1,2020025,day,2020,circular
1,1,2020026,day,2020,circular
1,1,2020027,day,2020,circular
1,1,2020028,day,2020,circular
1,1,2020029,day,2020,circular
1,1,2020030,day,2020,circular
1,1,2020031,day,2020,circular
1,1,2020032,day,2020,circular
1,1,2020033,day,2020,circular
1,1,2020034,day,2020,circular
1,1,2020035,day,2020,circular
1,1,2020036,day,2020,circular
1,1,2020037,day,2020,circular
1,1,2020038,day,2020,circular
1,1,2020039,day,2020,circular
1,1,2020040,day,2020,circular
1,1,2020041,day,2020,circular
1,1,2020042,day,2020,circular
1,1,2020043,day,2020,circular
1,1,2020044,day,2020,circular
1,1,2020045,day,2020,circular
1,1,2020046,day,2020,circular
1,1,2020047,day,2020,circular
1,1,2020048,day,2020,circular
1,1,2020049,day,2020,circular
1,1,2020050,day,2020,circular
1,1,2020051,day,2020,circular
1,1,2020052,day,2020,circular
1,1,2020053,day,2020,circular
1,1,2020054,day,2020,circular
1,1,2020055,day,2020,circular
1,1,2020056,day,2020,circular
1,1,2020057,day,2020,circular
1,1,2020058,day,2020,circular
1,1,2020059,day,2020,circular
1,1,2020060,day,2020,circular
1,1,2020061,day,2020,circular
1,1,2020062,day,2020,circular
1,1,2020063,day,2020,circular
1,1,2020064,day,2020,circular
1,1,2020065,day,2020,circular
1,1,2020066,day,2020,circular
1,1,2020067,day,2020,circular
1,1,2020068,day,2020,circular
1,1,2020069,day,2020,circular
1,1,2020070,day,2020,circular
1,1,2020071,day,2020,circular
1,1,2020072,day,2020,circular
1,1,2020073,day,2020,circular
1,1,2020074,day,2020,circular
1,1,2020075,day,2020,circular
1,1,2020076,day,2020,circular
1,1,2020077,day,2020,circular
1,1,2020078,day,2020,circular
1,1,2020079,day,2020,circular
1,1,2020080,day,2020,circular
1,1,2020081,day,2020,circular
1,1,2020082,day,2020,circular
1,1,2020083,day,2020,circular
1,1,2020084,day,2020,circular
1,1,2020085,day,2020,circular
1,1,2020086,day,2020,circular
1,1,2020087,day,2020,circular
1,1,2020088,day,2020,circular
1,1,2020089,day,2020,circular
1,1,2020090,day,2020,circular
1,1,2020091,day,2020,circular
1,1,2020092,day,2020,circular
1,1,2020093,day,2020,circular
1,1,2020094,day,2020,circular
1,1,2020095,day,2020,circular
1,1,2020096,day,2020,circular
1,1,2020097,day,2020,circular
1,1,2020098,day,2020,circular
1,1,2020099,day,2020,circular
1,1,2020100,day,2020,circular
1,1,2020101,day,2020,circular
1,1,2020102,day,2020,circular
1,1,2020103,day,2020,circular
1,1,2020104,day,2020,circular
1,1,2020105,day,2020,circular
1,1,2020106,day,2020,circular
1,1,2020107,day,2020,circular
1,1,2020108,day,2020,circular
1,1,2020109,day,2020,circular
1,1,2020110,day,2020,circular
1,1,2020111,day,2020,circular
1,1,2020112,day,2020,circular
1,1,2020113,day,2020,circular
1,1,2020114,day,2020,circular
1,1,2020115,day,2020,circular
1,1,2020116,day,2020,circular
1,1,2020117,day,2020,circular
1,1,2020118,day,2020,circular
1,1,2020119,day,2020,circular
1,1,2020120,day,2020,circular
1,1,2020121,day,2020,circular
1,1,2020122,day,2020,circular
1,1,2020123,day,2020,circular
1,1,2020124,day,2020,circular
1,1,2020125,day,2020,circular
1,1,2020126,day,2020,circular
1,1,2020127,day,2020,circular
1,1,2020128,day,2020,circular
1,1,2020129,day,2020,circular
1,1,2020130,day,2020,circular
1,1,2020131,day,2020,circular
1,1,2020132,day,2020,circular
1,1,2020133,day,2020,circular
1,1,2020134,day,2020,circular
1,1,2020135,day,2020,circular
1,1,2020136,day,2020,circular
1,1,2020137,day,2020,circular
1,1,2020138,day,2020,circular
1,1,2020139,day,2020,circular
