feature,subscenario_id
core,temporal_scenario_id
core,project_portfolio_scenario_id
core,project_availability_scenario_id
core,project_operational_chars_scenario_id
core,load_scenario_id
core,load_zone_scenario_id
core,project_load_zone_scenario_id
data_dependent,project_specified_capacity_scenario_id
data_dependent,project_specified_fixed_cost_scenario_id
data_dependent,project_new_cost_scenario_id
data_dependent,project_new_potential_scenario_id
data_dependent,prm_energy_only_scenario_id
transmission,transmission_portfolio_scenario_id
transmission,transmission_load_zone_scenario_id
transmission,transmission_specified_capacity_scenario_id
transmission,transmission_operational_chars_scenario_id
transmission_hurdle_rates,transmission_hurdle_rate_scenario_id
simultaneous_flow_limits,transmission_simultaneous_flow_limit_scenario_id
simultaneous_flow_limits,transmission_simultaneous_flow_limit_line_group_scenario_id
lf_reserves_up,lf_reserves_up_ba_scenario_id
lf_reserves_up,project_lf_reserves_up_ba_scenario_id
lf_reserves_up,lf_reserves_up_scenario_id
lf_reserves_down,lf_reserves_down_ba_scenario_id
lf_reserves_down,project_lf_reserves_down_ba_scenario_id
lf_reserves_down,lf_reserves_down_scenario_id
regulation_up,regulation_up_ba_scenario_id
regulation_up,project_regulation_up_ba_scenario_id
regulation_up,regulation_up_scenario_id
regulation_down,regulation_down_ba_scenario_id
regulation_down,project_regulation_down_ba_scenario_id
regulation_down,regulation_down_scenario_id
frequency_response,frequency_response_ba_scenario_id
frequency_response,project_frequency_response_ba_scenario_id
frequency_response,frequency_response_scenario_id
spinning_reserves,spinning_reserves_ba_scenario_id
spinning_reserves,project_spinning_reserves_ba_scenario_id
spinning_reserves,spinning_reserves_scenario_id
period_energy_target,energy_target_zone_scenario_id
period_energy_target,project_energy_target_zone_scenario_id
period_energy_target,period_energy_target_scenario_id
horizon_energy_target,energy_target_zone_scenario_id
horizon_energy_target,project_energy_target_zone_scenario_id
horizon_energy_target,horizon_energy_target_scenario_id
instantaneous_penetration,instantaneous_penetration_zone_scenario_id
instantaneous_penetration,project_instantaneous_penetration_zone_scenario_id
instantaneous_penetration,instantaneous_penetration_scenario_id
carbon_cap,carbon_cap_zone_scenario_id
carbon_cap,project_carbon_cap_zone_scenario_id
carbon_cap,carbon_cap_target_scenario_id
track_carbon_imports,transmission_carbon_cap_zone_scenario_id
fuel_burn_limit,fuel_burn_limit_ba_scenario_id
fuel_burn_limit,project_fuel_burn_limit_ba_scenario_id
fuel_burn_limit,fuel_burn_limit_scenario_id
prm,prm_zone_scenario_id
prm,project_prm_zone_scenario_id
prm,prm_requirement_scenario_id
prm,project_elcc_chars_scenario_id
elcc_surface,elcc_surface_scenario_id
local_capacity,local_capacity_zone_scenario_id
local_capacity,project_local_capacity_zone_scenario_id
local_capacity,project_local_capacity_chars_scenario_id
local_capacity,local_capacity_requirement_scenario_id
tuning,tuning_scenario_id
